system,system_group_paper,ES_paper,SC_paper,PHR_paper,CRSC_paper,TV_paper,SCH_paper,MCS_paper,source_note,system_group_run,ES_run,SC_run,PHR_run,CRSC_run,TV_run,SCH_run,MCS_run,runs,delta_ES,delta_SC,delta_PHR,delta_CRSC,delta_TV,delta_SCH,delta_MCS
basic_gis_copilot,baseline,0.71,0.58,0.22,0.69,0.73,0.76,3.1,Table 4 placeholder draft results from ICTA_2026_v1.pdf,baseline,1.0,0.882,0.7778,0.2222,1.0,0.8333,3.0,18,0.29000000000000004,0.30200000000000005,0.5578000000000001,-0.46779999999999994,0.27,0.07330000000000003,-0.10000000000000009
planner_reflector,baseline,0.81,0.67,0.15,0.77,0.8,0.83,3.4,Table 4 placeholder draft results from ICTA_2026_v1.pdf,baseline,1.0,0.882,0.0,1.0,1.0,0.8333,3.0,18,0.18999999999999995,0.21199999999999997,-0.15,0.22999999999999998,0.19999999999999996,0.0033000000000000806,-0.3999999999999999
geoguard_copilot,baseline,0.9,0.79,0.08,0.92,0.91,0.9,4.2,Table 4 placeholder draft results from ICTA_2026_v1.pdf,baseline,1.0,0.9445,0.0,1.0,1.0,1.0,4.5,18,0.09999999999999998,0.15449999999999997,-0.08,0.07999999999999996,0.08999999999999997,0.09999999999999998,0.2999999999999998
